alias,dataset,source_id,variable_id,unit_id,stat,grain,note
沈下面積(2cm以上),measurements,kanagawa_jiban_chinka,common:variable:land.subsidence_area_2cm_plus,common:unit:km2,,year,
調査面積,measurements,kanagawa_jiban_chinka,common:variable:land.survey_area,common:unit:km2,,year,
water_temperature,sensor_timeseries,synthetic_sensor,common:variable:water.water_temp,,,instant,source_id=synthetic_sensor（合成データ）。grain=instant（0/6/12/18時の点サンプル。経緯は docs/plans/PHASE_B_INTAKE.md）
河川水位_日平均,sensor_timeseries,yokohama_river_waterlevel,common:variable:hydro.river_stage,common:unit:m,mean,day,
河川水位_日最高,sensor_timeseries,yokohama_river_waterlevel,common:variable:hydro.river_stage,common:unit:m,max,day,
soil_moisture,sensor_timeseries,synthetic_sensor,common:variable:hydro.soil_moisture,common:unit:m3_per_m3,,instant,source_id=synthetic_sensor（合成データ）。grain=instant（0/6/12/18時の点サンプル。経緯は docs/plans/PHASE_B_INTAKE.md）
NO2(ppm),sensor_timeseries,soramame_hourly_kanagawa,common:variable:air.no2,common:unit:ppm,,hour,
二酸化窒素（NO2）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:air.no2,common:unit:ppb,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
SO2(ppm),sensor_timeseries,soramame_hourly_kanagawa,common:variable:air.so2,common:unit:ppm,,hour,
二酸化硫黄（SO2）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:air.so2,common:unit:ppb,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
一酸化窒素（NO）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:air.no,common:unit:ppb,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
窒素酸化物（NOx）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:air.nox,common:unit:ppb,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
OX,sensor_timeseries,sagamihara_taiki_hourly,common:variable:air.photochemical_oxidant,,,hour,出典(相模原市オープンデータ)に単位記載が無く、収集スクリプト(scripts/c13_sagamihara_taiki.py)も推測換算していない。値域から1/1000スケール(ppm相当)の可能性が指摘されているが未確定。
Ox(ppm),sensor_timeseries,soramame_hourly_kanagawa,common:variable:air.photochemical_oxidant,common:unit:ppm,,hour,
光化学オキシダント（Ox）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:air.photochemical_oxidant,common:unit:ppb,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
SPM(mg/m3),sensor_timeseries,soramame_hourly_kanagawa,common:variable:air.spm,common:unit:mg_per_m3,,hour,
浮遊粒子状物質（SPM）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:air.spm,common:unit:ug_per_m3,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
PM2.5(μg/m3),sensor_timeseries,soramame_hourly_kanagawa,common:variable:air.pm25,common:unit:ug_per_m3,,hour,
微小粒子状物質（PM2.5）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:air.pm25,common:unit:ug_per_m3,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
一酸化炭素（CO）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:air.co,common:unit:0_1ppm,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
メタン（CH4）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:air.ch4,common:unit:0_01ppmc,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
非メタン炭化水素（NMHC）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:air.nmhc,common:unit:0_01ppmc,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
全炭化水素（THC）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:air.thc,common:unit:0_01ppmc,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
RAIN,sensor_timeseries,sagamihara_taiki_hourly,common:variable:weather.precipitation,,,hour,出典(相模原市オープンデータ)に単位記載が無く、収集スクリプトも推測換算していない。0は無降雨の実測として扱う旨が原本にあり欠測ではない。
気温_平均,sensor_timeseries,jma_daily_yokohama,common:variable:weather.air_temp,common:unit:degc,mean,day,
気温_平均_日平均,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.air_temp,common:unit:degc,mean,month,
気温_平均_日最低,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.air_temp,common:unit:degc,mean_of_daily_min,month,
気温_平均_日最高,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.air_temp,common:unit:degc,mean_of_daily_max,month,
気温_最低,sensor_timeseries,jma_daily_yokohama,common:variable:weather.air_temp,common:unit:degc,min,day,
気温_最低,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.air_temp,common:unit:degc,min,month,
気温_最高,sensor_timeseries,jma_daily_yokohama,common:variable:weather.air_temp,common:unit:degc,max,day,
気温_最高,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.air_temp,common:unit:degc,max,month,
温度（TEMP）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:weather.air_temp,common:unit:0_1degc,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
降水量_合計,sensor_timeseries,jma_daily_yokohama,common:variable:weather.precipitation,common:unit:mm,sum,day,
降水量_合計,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.precipitation,common:unit:mm,sum,month,
降水量_最大_10分間,sensor_timeseries,jma_daily_yokohama,common:variable:weather.precipitation,common:unit:mm,max_10min,day,
降水量_最大_10分間,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.precipitation,common:unit:mm,max_10min,month,
降水量_最大_1時間,sensor_timeseries,jma_daily_yokohama,common:variable:weather.precipitation,common:unit:mm,max_1h,day,
降水量_最大_1時間,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.precipitation,common:unit:mm,max_1h,month,
降水量_最大_日,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.precipitation,common:unit:mm,max_daily,month,
雨量（RAIN）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:weather.precipitation,common:unit:0_1mm,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
湿度_平均,sensor_timeseries,jma_daily_yokohama,common:variable:weather.humidity,common:unit:percent,mean,day,
湿度_平均,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.humidity,common:unit:percent,mean,month,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §5.3: 月別値は日別値の平均の平均（全時刻観測の平均ではない）ことを2024年横浜のデータで数値照合済み。
湿度_最小,sensor_timeseries,jma_daily_yokohama,common:variable:weather.humidity,common:unit:percent,min,day,
湿度_最小,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.humidity,common:unit:percent,min,month,
湿度（HUM）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:weather.humidity,common:unit:0_1percent,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
気圧_現地_平均,sensor_timeseries,jma_daily_yokohama,common:variable:weather.pressure_station,common:unit:hpa,mean,day,
気圧_現地_平均,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.pressure_station,common:unit:hpa,mean,month,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §5.3: 月別値は日別値の平均の平均（全時刻観測の平均ではない）ことを2024年横浜のデータで数値照合済み。
気圧_海面_平均,sensor_timeseries,jma_daily_yokohama,common:variable:weather.pressure_sea_level,common:unit:hpa,mean,day,
気圧_海面_平均,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.pressure_sea_level,common:unit:hpa,mean,month,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §5.3: 月別値は日別値の平均の平均（全時刻観測の平均ではない）ことを2024年横浜のデータで数値照合済み。
日照 時間,sensor_timeseries,jma_daily_yokohama,common:variable:weather.sunshine_duration,common:unit:h,sum,day,
日照 時間,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.sunshine_duration,common:unit:h,sum,month,
風向・風速_平均 風速,sensor_timeseries,jma_daily_yokohama,common:variable:weather.wind_speed_mean,common:unit:m_per_s,mean,day,
風向・風速_平均 風速,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.wind_speed_mean,common:unit:m_per_s,mean,month,docs/plans/PHASE_B_ALIAS_STAT_SOURCES.md §5.3: 月別値は日別値の平均の平均（全時刻観測の平均ではない）ことを2024年横浜のデータで数値照合済み。
風速（WS）_日平均,sensor_timeseries,hiratsuka_taiki,common:variable:weather.wind_speed_mean,common:unit:0_1m_per_s,mean,day,"平塚市大気環境状況 1時間値データフォーマット説明書（測定項目番号表, images/1hour_description.pdf）"
風向・風速_最大風速_風速,sensor_timeseries,jma_daily_yokohama,common:variable:weather.wind_speed_max,common:unit:m_per_s,max,day,
風向・風速_最大風速_風速,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.wind_speed_max,common:unit:m_per_s,max,month,
風向・風速_最大風速_風向,sensor_timeseries,jma_daily_yokohama,common:variable:weather.wind_direction_at_max,,,day,
風向・風速_最大風速_風向,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.wind_direction_at_max,,,month,
風向・風速_最大瞬間風速_風速,sensor_timeseries,jma_daily_yokohama,common:variable:weather.wind_gust_max,common:unit:m_per_s,max,day,
風向・風速_最大瞬間風速_風速,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.wind_gust_max,common:unit:m_per_s,max,month,
風向・風速_最大瞬間風速_風向,sensor_timeseries,jma_daily_yokohama,common:variable:weather.wind_direction_at_gust,,,day,
風向・風速_最大瞬間風速_風向,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.wind_direction_at_gust,,,month,
雪_最深 積雪,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.snow_depth_max,common:unit:cm,max,month,scripts/c10_jma.py の VARMAP で「雪_最深積雪」「雪_最深積雪_値」と同一 variable_en(snow_depth_max) に統合済み
雪_最深積雪,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.snow_depth_max,common:unit:cm,max,month,
雪_最深積雪_値,sensor_timeseries,jma_daily_yokohama,common:variable:weather.snow_depth_max,common:unit:cm,max,day,
雪_降雪_合計,sensor_timeseries,jma_daily_yokohama,common:variable:weather.snowfall_depth_total,common:unit:cm,sum,day,scripts/c10_jma.py の VARMAP で「雪_降雪の深さ_合計」と同一 variable_en(snowfall_depth_total) に統合済み
雪_降雪_合計,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.snowfall_depth_total,common:unit:cm,sum,month,scripts/c10_jma.py の VARMAP で「雪_降雪の深さ_合計」と同一 variable_en(snowfall_depth_total) に統合済み
雪_降雪の深さ_合計,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.snowfall_depth_total,common:unit:cm,sum,month,
雪_降雪_日合計の最大,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.snowfall_depth_max_daily,common:unit:cm,max_daily,month,scripts/c10_jma.py の VARMAP で「雪_降雪の深さ_日合計の最大」と同一 variable_en(snowfall_depth_max_daily) に統合済み
雪_降雪の深さ_日合計の最大,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.snowfall_depth_max_daily,common:unit:cm,max_daily,month,
雲量_平均,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.cloud_cover_mean,common:unit:tenths,mean,month,
大気現象_雪日数,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.days_with_snow,common:unit:days,sum,month,
大気現象_霧日数,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.days_with_fog,common:unit:days,sum,month,
大気現象_雷日数,sensor_timeseries,jma_monthly_kanagawa,common:variable:weather.days_with_thunder,common:unit:days,sum,month,
天気概況_昼 (06:00-18:00),sensor_timeseries,jma_daily_yokohama,common:variable:weather.weather_summary_day,,,day,
天気概況_夜 (18:00-翌日06:00),sensor_timeseries,jma_daily_yokohama,common:variable:weather.weather_summary_night,,,day,
1:area_km2,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.paddy,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
1:n_cells,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.paddy_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0100:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.paddy,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0100:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.paddy_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
2:area_km2,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.other_agricultural_land,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
2:n_cells,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.other_agricultural_land_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0200:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.other_agricultural_land,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0200:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.other_agricultural_land_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
5:area_km2,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.forest,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
5:n_cells,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.forest_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0500:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.forest,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0500:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.forest_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
6:area_km2,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.wasteland,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
6:n_cells,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.wasteland_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0600:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.wasteland,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0600:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.wasteland_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
7:area_km2,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.building_land,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
7:n_cells,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.building_land_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0700:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.building_land,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0700:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.building_land_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
9:area_km2,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.arterial_transport_land,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
9:n_cells,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.arterial_transport_land_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0901:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.road,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0901:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.road_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0902:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.railway,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
0902:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.railway_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
A:area_km2,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.other_land,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
A:n_cells,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.other_land_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
1000:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.other_land,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
1000:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.other_land_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
B:area_km2,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.river_and_lake,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
B:n_cells,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.river_and_lake_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
1100:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.river_and_lake,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
1100:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.river_and_lake_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
E:area_km2,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.beach,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
E:n_cells,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.beach_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
1400:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.beach,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
1400:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.beach_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
F:area_km2,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.sea_water,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
F:n_cells,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.sea_water_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
1500:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.sea_water,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
1500:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.sea_water_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
G:area_km2,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.golf_course,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
G:n_cells,nlni_l03b_landuse_by_watershed@2006,nlni_l03b_landuse_by_watershed,common:variable:landuse.golf_course_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
1600:area_km2,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.golf_course,common:unit:km2,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
1600:n_cells,nlni_l03b_landuse_by_watershed@2016,nlni_l03b_landuse_by_watershed,common:variable:landuse.golf_course_n_cells,common:unit:count,sum,year,P-1b（docs/plans/PHASE_B_LANDUSE.md §2/§3参照）。
